Matematica;Comunicacion;Ingles;DesarrolloPersonal;Historia;ArteyCultura;Quimica;Biologia;Fisica;EmprendimientoI;EmprendimientoII;KuderA;KuderB;KuderC;KuderD;KuderE;KuderF;KuderG;KuderH;KuderI;KuderJ;CapsE1MR;CapsE2SR;CapsE3VR;CapsE4NA;CapsE5LU;CapsE6WK;CapsE7PSA;Career
16;8;16;20;20;20;20;20;17;20;16;23;26;6;13;16;28;6;12;26;13;2;6;0;7;0;6;3;IngenieriaComercial
13;9;16;20;18;18;13;16;14;14;14;13;30;13;6;6;28;25;7;13;6;3;4;2;0;3;7;0;IngenieriaComercial
19;17;19;18;20;20;0;20;0;20;18;25;11;9;19;22;27;7;8;16;29;4;6;0;9;5;9;0;Odontologia
16;16;20;20;20;20;20;20;16;20;20;30;12;22;19;27;30;21;8;7;27;6;7;2;0;4;3;6;EducacionPrimaria
12;19;18;20;20;20;18;20;18;16;18;28;25;6;10;7;23;9;20;11;28;1;2;6;4;0;4;0;IngenieriaComercial
6;16;8;18;2;8;17;12;4;6;4;28;14;10;22;15;20;15;13;18;15;6;0;5;9;7;9;4;MedicinaHumana
7;19;17;16;18;14;18;16;0;10;16;19;20;10;26;10;6;15;13;12;28;2;0;8;3;0;9;0;IngenieriaAmbiental
6;16;18;20;20;18;15;16;20;14;14;18;24;9;20;17;30;21;28;23;29;2;1;8;9;0;7;0;IngenieriaAmbiental
16;8;19;20;20;16;20;16;18;20;10;6;27;8;14;30;11;22;11;25;8;6;7;9;0;0;5;3;IngenieriadeIndustriaAlimentaria
19;18;10;20;20;18;20;0;20;20;8;9;13;9;26;25;8;25;9;6;10;6;5;2;5;3;4;0;Odontologia
5;15;19;18;14;12;11;16;12;2;10;16;22;17;15;10;24;20;12;12;17;3;0;9;9;3;0;9;IngenieriaAmbiental
15;17;20;20;10;20;20;16;20;20;14;22;14;25;11;12;24;23;10;23;27;6;4;3;0;4;0;5;AdministraciondeEmpresas
16;17;19;20;20;20;11;20;14;16;18;7;26;9;17;18;7;27;27;25;7;2;6;0;7;2;0;6;CienciaPoliticayGobierno
16;17;19;18;20;20;15;20;18;20;20;16;29;18;22;15;21;14;30;13;19;4;0;5;5;8;0;4;PublicidadyMultimedia
4;19;9;20;20;14;16;16;17;16;16;22;28;13;9;11;7;13;23;12;20;2;1;9;5;0;4;9;IngenieriaAmbiental
16;14;20;18;18;16;17;20;18;16;10;9;20;17;18;17;14;30;28;17;26;3;6;5;0;6;6;1;IngenieriaComercial
7;18;13;20;20;20;13;12;12;10;14;29;6;26;11;7;30;17;14;8;24;6;0;0;9;0;1;0;Enfermeria
19;18;19;20;20;18;20;20;20;20;10;19;6;13;27;25;25;16;27;24;9;4;7;0;9;6;9;1;IngenieriaBiotecnologica
17;17;20;18;20;20;19;20;20;20;18;21;17;27;16;9;8;16;29;28;16;2;0;0;8;9;0;7;Psicologia
15;19;8;20;20;20;18;20;15;18;0;13;25;21;8;22;22;6;7;6;30;6;0;0;1;6;1;1;AdministraciondeEmpresas
15;14;19;20;20;18;19;20;20;18;12;19;15;18;29;11;9;8;17;10;11;4;0;6;9;4;9;0;TecnologiaMedica
6;15;19;18;18;16;17;20;16;8;20;28;19;27;30;11;22;25;14;26;16;6;2;9;4;0;7;7;IngenieriaIndustrial
9;14;8;20;12;14;19;12;0;12;18;21;16;14;18;17;20;19;28;23;9;0;0;0;9;2;3;2;MedicinaHumana
9;17;14;20;18;18;20;20;18;20;18;14;6;28;7;29;24;22;8;22;21;0;7;0;9;2;9;6;Odontologia
18;17;20;18;20;14;18;20;18;6;18;19;13;19;22;15;26;22;15;20;22;6;6;9;5;0;9;0;IngenieriaIndustrial
19;18;19;20;20;20;18;16;15;20;20;11;8;27;30;25;16;22;9;12;24;4;1;4;2;2;9;9;TecnologiaMedica
10;17;17;20;16;16;12;20;17;18;18;18;24;9;21;25;11;21;26;10;8;2;2;3;0;8;9;9;PublicidadyMultimedia
9;8;6;16;20;4;20;20;17;18;12;24;16;10;9;16;29;14;28;6;16;0;2;9;7;6;7;1;IngenieriadeIndustriaAlimentaria
19;17;19;20;20;20;20;20;13;20;4;22;22;28;20;8;17;6;7;10;20;2;0;9;0;4;4;7;Arquitectura
19;18;18;20;16;18;18;16;16;14;12;23;11;26;30;14;25;12;21;17;16;4;0;0;2;9;8;5;TurismoyHoteleria
8;9;17;20;18;12;19;16;16;10;8;25;27;21;15;11;26;23;22;15;6;6;4;5;0;9;9;2;TrabajoSocial
18;16;16;18;14;12;17;20;0;10;12;22;6;21;30;11;21;28;28;19;10;6;0;9;0;5;0;5;IngenieriaMecanica
13;18;19;20;20;16;18;20;0;16;16;17;29;18;12;14;22;7;26;7;6;1;0;9;4;0;6;0;MedicinaVeterinariayZootecnia
15;9;20;12;18;10;18;20;11;8;20;14;28;12;24;10;22;19;15;23;29;1;6;3;4;0;9;1;AdministraciondeEmpresas
14;17;20;20;20;16;15;20;14;18;18;14;25;10;29;25;23;17;20;14;27;2;3;5;0;1;0;3;FarmaciayBioquimica
10;18;16;20;20;14;20;20;20;20;14;22;14;7;28;25;11;30;12;17;17;4;0;0;1;3;0;0;TecnologiaMedica
19;18;20;20;0;20;20;20;17;20;0;22;30;28;23;17;24;22;7;22;13;6;6;4;9;2;0;9;IngenieriaCivil
12;16;20;20;16;10;17;0;20;14;14;16;21;24;25;22;22;28;14;21;25;0;6;9;0;0;4;7;IngenieriaAmbiental
7;10;14;20;20;16;12;20;14.5;18;20;27;15;23;9;27;27;12;20;21;22;6;4;8;0;3;7;8;IngenieriaAgronomicayAgricola
12;17;17;18;20;18;20;20;17;18;14;28;13;13;22;13;6;19;29;7;23;6;2;4;7;0;3;4;IngenieriaComercial
9;16;17;16;14;8;8;0;11.5;16;16;22;25;16;29;9;9;7;26;11;21;0;5;0;9;3;1;2;IngenieriaBiotecnologica
19;17;20;20;20;20;20;20;20;20;20;25;17;27;6;25;10;10;13;19;22;1;3;6;4;1;5;0;Contabilidad
19;18;20;20;20;20;17;16;20;20;16;10;19;13;25;17;23;8;20;29;22;6;7;0;4;0;9;0;AdministraciondeEmpresas
16;18;19;20;20;18;20;16;0;18;18;23;12;15;26;26;22;21;17;8;11;6;6;9;6;4;0;0;MedicinaVeterinariayZootecnia
16;19;19;20;20;10;19;20;17;20;14;21;12;8;16;8;28;25;6;27;29;6;2;5;7;6;7;4;CienciaPoliticayGobierno
14;17;19;20;20;20;15;20;18;20;10;12;19;21;18;7;26;7;16;30;12;3;0;5;0;5;4;1;AdministraciondeEmpresas
8;15;6;20;20;16;15;20;14;14;8;8;13;21;11;9;8;16;15;29;18;0;1;0;7;0;9;0;CienciaPoliticayGobierno
6;19;16;18;20;10;20;20;11.5;20;8;30;20;18;20;26;25;29;22;16;9;6;6;6;0;0;0;0;PublicidadyMultimedia
17;17;19;20;20;18;20;16;16;20;14;18;11;20;20;7;7;18;20;16;10;6;7;6;9;1;5;0;Odontologia
15;17;16;20;20;16;20;20;16;16;20;8;6;25;20;18;27;8;18;30;21;4;1;9;4;1;5;7;IngenieriadeIndustriaAlimentaria
13;15;17;20;20;20;16;20;12;20;14;11;8;22;6;11;16;26;11;24;28;5;6;0;9;6;7;0;TecnologiaMedica
13;17;19;20;20;18;17;20;17;18;16;20;23;17;29;16;27;20;20;29;6;6;0;3;4;7;2;7;Derecho
17;16;20;20;18;20;17;12;0;20;0;15;16;23;15;13;23;16;25;19;18;5;6;0;9;0;3;0;TecnologiaMedica
13;10;19;20;20;18;19;20;19;16;16;27;22;14;20;9;17;13;26;24;25;0;6;0;9;3;9;0;MedicinaHumana
3;14;9;0;16;12;15;12;12;10;12;18;6;15;18;11;29;9;23;8;22;4;2;8;6;0;7;0;IngenieriadeMinas
18;9;19;20;20;20;11;16;14;20;20;20;14;20;23;25;28;11;13;27;24;5;3;0;0;6;1;0;IngenieriaComercial
9;17;19;18;20;18;14;16;20;16;8;28;7;7;22;19;13;14;26;15;22;2;3;9;9;3;6;3;IngenieriadeIndustriaAlimentaria
16;17;18;20;20;16;17;20;20;18;16;8;11;15;7;23;28;11;23;6;17;4;4;9;0;0;5;0;IngenieriaAgronomicayAgricola
15;19;20;20;20;20;17;20;16;20;18;6;12;8;23;12;27;15;6;19;19;6;4;9;2;7;2;0;Arquitectura
18;17;17;20;18;18;19;20;17;18;18;14;19;11;23;23;23;22;24;30;17;4;0;0;4;1;9;0;Contabilidad
16;18;18;20;20;20;14;20;10;20;20;8;29;29;13;21;18;24;15;22;15;3;3;0;1;8;7;7;Psicologia
13;19;9;20;20;20;20;20;20;18;18;7;25;6;21;29;17;17;10;20;15;4;0;6;3;4;9;5;CienciaPoliticayGobierno
18;15;18;16;20;12;19;20;20;12;14;22;7;20;7;16;10;12;14;6;11;3;6;0;4;7;0;0;Derecho
10;19;9;20;6;20;13;20;12;18;20;12;24;12;22;8;26;12;19;7;19;2;4;0;4;0;2;9;IngenieriaComercial
10;9;20;18;4;12;9;8;10;0;12;7;13;29;22;16;15;16;7;24;18;3;1;2;9;1;9;3;TecnologiaMedica
