MatematicaI;MatematicaII;ComunicacionI;ComunicacionII;InglesI;InglesII;DesarrolloPersonal;Historia;ArteyCultura;Quimica;Biologia;Fisica;EmprendimientoI;EmprendimientoII;KuderA1;KuderA2;KuderA3;KuderA4;KuderA5;KuderA6;KuderB1;KuderB2;KuderB3;KuderB4;KuderB5;KuderB6;KuderC1;KuderC2;KuderC3;KuderC4;KuderC5;KuderC6;KuderD1;KuderD2;KuderD3;KuderD4;KuderD5;KuderD6;KuderE1;KuderE2;KuderE3;KuderE4;KuderE5;KuderE6;KuderF1;KuderF2;KuderF3;KuderF4;KuderF5;KuderF6;KuderG1;KuderG2;KuderG3;KuderG4;KuderG5;KuderG6;KuderH1;KuderH2;KuderH3;KuderH4;KuderH5;KuderH6;KuderI1;KuderI2;KuderI3;KuderI4;KuderI5;KuderI6;KuderJ1;KuderJ2;KuderJ3;KuderJ4;KuderJ5;KuderJ6;CapsE1MR;CapsE2SR;CapsE3VR;CapsE4NA;CapsE5LU;CapsE6WK;CapsE7PSA;CapsP1MR;CapsP2SR;CapsP3VR;CapsP4NA;CapsP5LU;CapsP6WK;CapsP7PSA;Career
14;18;16;0;20;12;20;20;20;20;20;17;20;16;2;3;1;4;1;5;2;3;4;3;3;3;3;4;5;5;3;2;4;5;5;1;1;1;1;3;2;4;4;5;1;1;2;5;4;5;3;3;2;5;5;1;1;2;2;1;1;3;4;2;5;5;3;3;1;1;2;5;4;4;6;1;1;7;5;1;5;50;16;3;62;63;12;66;Tecnologia Medica
12;13;18;0;20;12;20;18;18;13;16;14;14;14;3;2;2;4;3;4;5;1;4;5;4;5;4;1;5;2;3;1;2;2;5;5;4;3;3;2;3;1;1;4;1;4;3;3;4;3;4;2;3;5;5;1;4;4;3;3;1;1;5;3;2;1;3;1;1;1;3;2;3;3;9;3;3;1;1;3;2;85;38;32;0;13;32;43;Ingenieria Mecanica
20;18;16;18;20;18;18;20;20;0;20;0;20;18;3;3;1;1;1;3;4;2;3;5;1;1;2;1;5;1;2;1;1;4;1;4;4;5;4;5;5;1;1;2;5;1;1;2;1;5;5;5;5;1;3;5;3;4;4;2;3;2;1;3;3;1;4;2;5;4;3;3;4;4;9;9;7;8;9;4;1;80;100;64;66;93;44;16;Administracion de Empresas
14;18;15;17;20;20;20;20;20;20;20;16;20;20;4;4;1;3;1;4;3;3;3;3;1;1;1;4;2;3;5;3;3;3;3;5;2;3;1;2;3;3;1;4;2;5;4;2;1;1;5;4;5;4;3;5;3;2;2;1;4;4;5;3;2;4;3;3;1;2;3;5;4;3;1;6;7;6;7;2;8;10;72;60;54;76;26;90;Ingenieria Biotecnologica
12;12;18;20;19;17;20;20;20;18;20;18;16;18;4;2;3;4;5;5;2;5;5;3;1;1;2;1;2;4;2;5;4;1;2;4;2;4;2;2;5;2;4;4;5;1;2;5;2;4;4;1;3;5;2;5;3;3;5;3;2;5;2;3;3;2;2;3;5;1;1;1;5;1;7;2;6;9;6;6;7;55;33;57;100;70;55;81;Derecho
0;11;14;17;15;0;18;2;8;17;12;4;6;4;2;4;3;1;3;1;4;5;5;2;4;4;3;3;5;4;2;5;4;4;3;2;4;1;1;1;5;1;3;5;3;2;5;3;4;4;1;4;3;4;3;1;2;2;2;1;3;5;5;5;3;2;1;5;1;1;3;5;4;2;2;2;9;7;1;9;1;25;33;96;62;10;83;13;Educacion Secundaria
9;4;18;20;18;15;16;18;14;18;16;0;10;16;3;4;5;1;2;3;4;4;3;4;5;5;1;3;3;1;5;3;3;3;4;2;2;4;1;3;3;4;5;2;1;1;3;5;4;4;2;3;5;1;5;3;5;5;2;1;5;3;1;4;1;2;1;5;4;4;2;4;1;3;9;1;5;3;9;1;3;80;11;50;37;96;19;52;Ingenieria de Industria Alimentaria
9;3;17;14;16.5;20;20;20;18;15;16;20;14;14;1;2;3;2;2;2;3;5;2;3;1;2;4;3;1;2;5;4;5;4;1;4;2;5;3;3;4;2;3;5;3;5;5;5;1;2;3;1;5;4;2;3;2;4;1;5;2;1;3;2;1;4;5;2;3;3;4;2;5;5;8;4;6;9;5;4;4;65;50;53;79;63;44;57;Ingenieria Comercial
15;17;0;16;18;20;20;20;16;20;16;18;20;10;2;2;2;1;2;1;4;2;5;1;1;1;4;4;2;1;1;4;1;2;2;1;2;3;4;4;1;3;5;2;5;3;5;4;3;5;1;3;2;2;1;5;3;1;5;2;3;4;3;1;5;3;3;1;1;4;5;2;4;1;9;8;3;1;1;4;1;80;83;32;4;30;41;24;Comunicacion Social
17;20;17;18;0;20;20;20;18;20;0;20;20;8;2;5;4;1;5;4;2;2;3;5;3;5;5;1;2;4;2;1;5;1;4;2;3;3;5;2;5;1;2;2;4;1;4;2;5;5;3;1;1;5;2;5;1;3;5;1;2;1;4;1;2;5;3;2;1;5;4;4;1;1;5;1;9;8;3;1;7;40;22;82;70;46;17;82;Ciencia Politica y Gobierno
5;4;15;15;18;20;18;14;12;11;16;12;2;10;5;5;1;2;1;3;3;5;3;4;3;1;4;3;1;5;2;4;3;1;1;3;3;5;4;3;3;3;1;5;1;4;1;4;3;3;2;4;1;1;2;1;1;4;4;1;4;4;5;5;4;3;2;3;3;2;2;4;5;3;7;4;1;5;9;2;2;60;50;10;45;96;30;44;Administracion de Empresas
14;16;17;17;20;20;20;10;20;20;16;20;20;14;4;1;4;2;2;2;2;5;2;3;5;5;4;4;4;2;2;4;5;3;4;3;3;4;1;3;2;3;5;1;4;2;3;5;1;4;3;1;2;5;3;4;3;3;1;2;5;5;2;2;5;1;4;1;1;4;1;5;1;2;9;9;4;8;2;8;1;75;100;39;70;36;67;3;Farmacia y Bioquimica
14;17;17;16;20;18;20;20;20;11;20;14;16;18;2;5;1;2;5;2;4;2;5;3;4;4;3;1;3;5;1;4;2;2;3;3;4;3;3;2;3;2;4;2;3;1;2;3;5;5;2;1;3;2;4;2;3;4;3;5;1;1;5;4;1;3;3;3;5;2;4;4;2;1;9;6;9;5;4;1;1;95;72;96;50;60;3;28;Contabilidad
12;20;16;18;18;20;18;20;20;15;20;18;20;20;2;1;5;5;5;2;2;5;1;3;1;4;3;4;2;5;3;3;2;5;5;4;2;5;5;3;2;4;3;4;5;1;4;1;3;1;4;4;1;1;1;1;5;2;3;5;4;1;3;2;3;2;5;4;3;5;3;5;4;1;7;4;9;8;3;3;8;60;50;100;66;50;32;92;Ingenieria Civil
7;0;18;20;18;0;20;20;14;16;16;17;16;16;2;3;3;3;3;4;1;1;4;3;3;2;3;4;1;4;5;1;4;2;2;1;2;3;5;5;2;2;4;2;1;5;3;2;3;4;4;1;5;4;5;4;4;5;3;5;4;1;1;5;5;5;3;4;2;3;3;5;5;3;1;8;5;9;4;5;8;10;83;46;91;60;50;92;Medicina Veterinaria y Zootecnia
12;20;17;11;20;20;18;18;16;17;20;18;16;10;4;3;3;2;5;5;1;4;4;1;5;3;5;2;1;3;1;1;5;3;2;2;2;1;3;2;4;4;4;4;5;1;4;3;3;3;2;5;5;4;5;3;1;4;1;4;1;2;2;1;1;2;3;3;2;4;5;2;4;5;8;3;5;2;1;8;4;65;38;50;29;20;67;56;Ingenieria Comercial
11;2;18;17;12;14;20;20;20;13;12;12;10;14;2;5;3;5;4;3;2;2;5;2;3;1;3;4;1;1;5;4;3;3;3;4;1;3;2;3;1;4;1;3;5;3;1;4;1;2;1;1;5;1;4;4;4;1;1;1;4;4;1;4;1;2;5;2;4;2;5;4;3;5;8;5;4;1;6;3;9;65;61;39;8;73;37;99;Farmacia y Bioquimica
17;20;17;18;20;18;20;20;18;20;20;20;20;10;3;2;1;1;2;1;3;3;4;5;5;1;2;2;5;1;1;1;3;5;2;5;3;5;2;3;5;4;1;1;3;3;2;2;3;1;3;3;3;4;5;4;2;3;5;1;2;5;4;1;3;1;1;3;5;2;5;4;5;5;5;1;6;3;9;1;7;45;5;53;37;93;0;79;Publicidad y Multimedia
14;20;17;16;20;20;18;20;20;19;20;20;20;18;5;4;4;2;5;3;2;4;2;4;2;5;4;2;4;2;1;5;5;4;5;5;2;4;2;4;2;5;2;2;3;5;1;3;4;3;2;1;2;2;5;1;3;2;3;2;3;1;5;2;5;5;4;5;2;4;1;2;3;2;1;7;1;7;6;9;1;0;77;17;62;73;83;36;Arquitectura
15;15;18;20;15;0;20;20;20;18;20;15;18;0;1;3;5;2;1;1;1;3;1;1;4;3;5;5;5;3;2;3;2;5;4;2;3;1;1;1;1;5;1;3;3;2;2;4;2;3;4;5;2;5;4;4;1;4;5;3;1;3;4;5;5;2;3;1;1;3;4;3;3;4;7;6;5;4;5;5;2;55;66;50;41;66;48;43;Ciencia Politica y Gobierno
18;12;17;11;20;18;20;20;18;19;20;20;18;12;5;1;5;1;5;1;4;5;5;2;1;5;3;4;1;2;2;1;3;2;5;1;3;4;5;1;5;2;1;5;5;5;5;4;5;4;2;3;5;1;3;1;5;5;4;2;2;5;4;5;2;2;1;1;2;4;5;1;4;2;9;9;9;1;1;1;9;90;94;82;12;13;19;96;Derecho
0;12;13;17;20;17;18;18;16;17;20;16;8;20;2;5;5;5;5;4;2;3;2;5;5;2;4;1;1;3;1;5;4;4;2;3;2;5;4;3;4;5;4;3;5;4;1;2;4;3;3;3;1;2;3;4;5;3;4;4;3;1;5;2;2;1;3;5;1;3;5;5;4;1;9;1;5;9;1;9;1;90;11;46;79;3;92;10;Ingenieria de Sistemas
9;8;18;10;16;0;20;12;14;19;12;0;12;18;4;2;2;5;3;1;5;5;3;1;5;3;4;5;3;1;5;5;4;2;1;4;2;2;1;3;3;3;2;5;4;1;5;4;2;5;1;5;3;3;5;5;4;1;3;5;2;4;5;1;4;1;2;3;3;2;2;3;2;3;9;8;6;1;1;9;7;95;88;57;4;23;100;82;Ingenieria Industrial
8;9;14;19;15;13;20;18;18;20;20;18;20;18;4;1;2;3;3;3;1;1;4;4;4;5;5;3;4;3;5;2;5;1;5;1;4;4;3;1;5;3;3;1;1;4;4;2;1;1;5;1;2;4;1;2;1;4;2;2;5;1;5;1;4;4;1;1;4;2;1;3;1;5;9;8;2;9;5;9;4;80;88;28;95;66;76;59;Farmacia y Bioquimica
18;18;17;16;20;20;18;20;14;18;20;18;6;18;3;1;2;5;2;1;5;5;5;3;1;3;4;5;2;1;1;2;2;2;2;4;2;4;2;5;1;3;3;5;5;4;1;3;1;2;3;2;3;5;3;5;1;1;1;3;3;5;2;1;3;4;3;4;5;1;5;4;4;3;6;6;9;3;7;7;8;50;72;75;37;80;66;92;Publicidad y Multimedia
20;17;17;18;20;18;20;20;20;18;16;15;20;20;1;3;1;4;4;5;3;4;3;3;3;2;5;4;2;5;1;3;4;4;5;2;3;2;4;4;1;1;2;1;5;2;5;5;2;5;2;3;3;1;5;5;2;2;5;5;5;4;4;3;3;5;4;3;1;3;2;4;4;1;2;4;1;1;9;5;8;20;50;10;16;93;50;92;Tecnologia Medica
12;7;16;18;14;19;20;16;16;12;20;17;18;18;3;4;1;4;5;3;3;2;2;5;1;2;5;4;4;1;5;5;1;1;4;4;4;2;2;4;5;5;3;4;3;3;4;5;2;1;3;5;2;2;2;5;5;5;1;5;5;4;4;1;2;5;4;1;3;2;2;3;3;3;5;1;3;9;7;1;7;40;0;35;100;76;0;82;Obstetricia y Puericultura
7;11;16;0;12;0;16;20;4;20;20;17;18;12;4;4;3;5;2;2;1;3;2;4;2;1;5;5;5;3;1;5;3;4;5;3;4;4;2;5;1;3;2;3;5;4;5;3;5;2;2;2;2;1;4;5;3;5;5;2;1;2;1;2;5;3;3;1;5;2;2;1;3;4;9;8;9;8;7;1;3;90;88;78;66;76;17;49;Educacion Primaria
17;20;16;17;18;19;20;20;20;20;20;13;20;4;1;4;5;3;1;2;5;2;5;3;1;5;2;1;3;3;1;1;1;4;5;2;5;1;4;1;2;5;5;2;3;2;3;4;5;2;4;3;1;2;4;4;5;4;5;2;5;2;5;3;5;1;2;1;3;1;5;1;2;1;8;3;1;9;9;8;1;65;44;17;100;93;71;32;Medicina Humana
18;20;20;15;17;18;20;16;18;18;16;16;14;12;5;4;2;4;4;4;2;3;3;4;3;5;1;1;5;2;4;4;2;4;3;1;1;1;4;5;4;4;2;5;3;2;2;5;1;3;5;3;2;2;4;2;2;2;4;1;4;2;2;1;3;2;1;3;4;1;1;1;5;3;5;9;1;6;8;5;6;45;100;3;58;86;48;74;Ingenieria Comercial
7;8;18;0;17;16;20;18;12;19;16;16;10;8;4;3;2;3;3;1;1;1;1;2;5;5;2;4;3;1;1;5;1;2;5;3;5;4;3;5;4;2;4;4;3;1;3;1;1;1;2;1;4;1;5;1;3;1;2;3;5;4;4;3;2;1;1;3;1;1;3;1;4;5;9;4;9;1;4;5;1;70;55;100;16;60;46;6;Ingenieria de Industria Alimentaria
15;20;16;15;17;14;18;14;12;17;20;0;10;12;3;4;4;2;1;2;5;3;2;3;3;3;1;2;2;4;4;3;2;1;4;3;5;4;4;4;5;5;3;5;1;5;1;4;3;4;3;4;2;1;5;3;3;5;4;1;1;4;2;4;4;2;1;1;1;4;1;4;4;5;1;3;9;9;1;1;1;0;44;92;91;20;0;16;Derecho
11;14;15;20;19;18;20;20;16;18;20;0;16;16;3;2;4;2;4;5;4;5;4;5;1;3;5;5;3;5;2;4;1;2;2;3;2;2;2;3;1;1;1;1;4;3;2;5;3;5;4;4;3;5;1;1;5;2;3;2;1;1;3;2;4;2;4;1;4;2;1;3;3;5;1;8;2;1;3;9;1;15;88;28;25;46;83;28;Publicidad y Multimedia
13;17;0;17;20;20;12;18;10;18;20;11;8;20;4;5;5;1;3;3;1;2;5;2;5;2;1;4;1;2;2;2;1;5;5;3;5;1;5;5;4;2;4;1;2;3;2;4;2;1;3;4;3;4;1;5;3;1;5;4;5;3;5;4;4;5;5;2;3;1;4;3;4;3;1;3;1;3;9;9;1;5;44;25;33;93;80;36;Ciencia Politica y Gobierno
8;20;16;18;20;20;20;20;16;15;20;14;18;18;3;4;1;1;5;4;3;5;1;2;2;4;3;5;3;5;5;4;1;1;5;2;1;3;4;4;2;1;5;2;2;4;5;5;3;5;3;5;1;4;1;3;4;5;2;4;2;1;4;2;4;1;4;1;3;4;3;1;4;2;9;5;9;9;3;9;8;95;61;75;87;50;82;90;Turismo y Hoteleria
12;8;17;18;16;16;20;20;14;20;20;20;20;14;2;4;1;1;1;3;2;2;1;4;3;3;4;5;3;4;5;3;2;1;2;4;1;2;1;3;2;5;4;4;5;4;5;4;1;2;1;1;2;1;2;3;2;2;3;2;4;1;3;3;4;1;2;3;2;4;3;5;5;3;9;1;5;7;1;6;1;90;5;50;62;26;53;2;Obstetricia y Puericultura
20;18;17;18;20;20;20;0;20;20;20;17;20;0;5;1;5;2;1;3;3;3;2;1;5;2;2;5;2;1;3;3;4;3;3;5;5;2;3;5;1;1;5;1;5;2;5;3;4;4;3;4;4;4;4;5;5;5;5;4;3;1;2;3;4;3;1;2;2;1;2;1;1;1;5;5;9;9;6;5;2;40;61;71;83;70;51;46;Ingenieria Biotecnologica
9;14;15;17;20;19;20;16;10;17;0;20;14;14;4;3;3;2;3;1;1;5;4;3;3;5;2;4;4;2;5;5;2;5;5;2;5;5;1;3;1;4;1;4;1;3;3;5;2;1;5;1;3;2;2;5;3;2;4;3;4;4;1;1;3;4;3;1;4;5;4;3;3;4;7;4;6;9;7;1;7;60;50;57;79;80;12;80;Odontologia
6;7;0;20;12;16;20;20;16;12;20;14.5;18;20;5;2;3;4;2;2;5;2;5;5;2;1;2;3;2;5;4;3;1;1;5;5;3;1;4;1;2;5;3;2;3;4;4;5;4;4;2;5;2;1;2;3;3;3;5;1;1;4;1;1;3;3;5;2;2;3;5;2;3;5;1;4;9;4;8;8;1;5;55;75;41;90;71;11;Trabajo Social
9;15;16;17;19;15;18;20;18;20;20;17;18;14;4;4;2;3;2;2;3;3;2;2;3;1;3;5;4;3;4;4;4;4;3;3;5;1;5;1;3;1;4;4;3;3;2;2;4;3;1;1;2;2;2;4;1;3;2;1;5;5;3;5;5;1;2;3;3;3;1;1;1;2;7;1;4;6;6;1;8;55;0;39;58;73;3;90;Farmacia y Bioquimica
12;6;16;16;19;14;16;14;8;8;0;11.5;16;16;1;4;4;2;2;2;5;3;4;4;1;1;1;5;2;5;5;4;2;1;2;2;3;2;2;5;1;2;1;3;3;5;4;5;1;1;2;5;2;2;4;4;1;3;3;3;4;5;2;3;3;2;2;3;4;2;4;5;1;2;1;1;8;1;1;1;1;15;5;67;8;16;8;5;Psicologia
